Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
MF033350	Acinetobacter phage vB_ApiP_P1	Acinetobacter phage vB_ApiP_P1 Friunavirus P1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41208	FALSE	39.196	DNA	25-OCT-2019	49	100	0	92.6907396622015	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter pittii
MF033349	Acinetobacter phage vB_AbaP_B5	Acinetobacter phage vB_AbaP_B5 Friunavirus B5 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41608	FALSE	39.310	DNA	25-OCT-2019	52	100	0	92.1169005960392	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MF033348	Acinetobacter phage vB_AbaP_B3	Acinetobacter phage vB_AbaP_B3 Friunavirus B3 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40598	FALSE	39.275	DNA	25-OCT-2019	47	100	0	90.8246711660673	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MF033347	Acinetobacter phage vB_AbaP_B1	Acinetobacter phage vB_AbaP_B1 Friunavirus B1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40879	FALSE	39.145	DNA	25-OCT-2019	48	100	0	92.225837226938	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MN270888	Pectobacterium phage CX5-1	Pectobacterium phage CX5-1 Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43885	FALSE	51.036	DNA	20-OCT-2019	55	100	0	94.8023242565797	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum
MN270887	Pectobacterium phage CX5	Pectobacterium phage CX5 Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43885	FALSE	51.033	DNA	20-OCT-2019	55	100	0	94.8023242565797	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum
MN212906	Acinetobacter phage vB_AbaP_D2M	Acinetobacter phage vB_AbaP_D2M Friunavirus D2 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	39963	FALSE	39.236	DNA	09-OCT-2019	45	0	100	92.0576533293296	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MK257723	Acinetobacter phage vB_AbaP_APK37	Acinetobacter phage vB_AbaP_APK37 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41981	FALSE	39.156	DNA	02-OCT-2019	49	100	0	91.6700412091184	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii NIPH146
MK257722	Acinetobacter phage vB_AbaP_APK32	Acinetobacter phage vB_AbaP_APK32 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41142	FALSE	39.313	DNA	02-OCT-2019	49	100	0	91.2716931602742	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii LUH5549
MK257720	Acinetobacter phage vB_AbaP_APK2-2	Acinetobacter phage vB_AbaP_APK2-2 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41426	FALSE	39.379	DNA	02-OCT-2019	48	100	0	92.1015787186791	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii ACICU
MK257719	Acinetobacter phage vB_AbaP_APK2	Acinetobacter phage vB_AbaP_APK2 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41476	FALSE	39.240	DNA	02-OCT-2019	48	100	0	91.9471501591282	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii ACICU
MN176573	Klebsiella phage vB_KpnP_IME337	Klebsiella phage vB_KpnP_IME337 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44266	FALSE	53.666	DNA	23-SEP-2019	53	0	100	95.1384810012199	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MN176572	Klebsiella phage vB_KpnP_IME308	Klebsiella phage vB_KpnP_IME308 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43091	FALSE	53.888	DNA	23-SEP-2019	52	98.0769230769231	1.92307692307692	92.6086653825625	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MK089780	Acinetobacter phage vB_AbaP_APK14	Acinetobacter phage vB_AbaP_APK14 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41767	FALSE	39.196	DNA	14-AUG-2019	50	100	0	92.9657385016879	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii AB5256
MH885472	Phage PBKP05	Phage PBKP05 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	30240	FALSE	52.983	DNA	06-AUG-2019	59	96.6101694915254	3.38983050847458	71.4285714285714	NA	0	Unspecified	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
MK562503	Shigella phage Buco	Shigella phage Buco Bucovirus buco Bucovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43630	FALSE	54.082	DNA	31-JUL-2019	56	98.2142857142857	1.78571428571429	93.8711895484758	NA	0	Shigella	Bucovirus	Bucovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Shigella flexneri
MG575419	Proteus phage vB_PmiP_RS8pmA	Proteus phage vB_PmiP_RS8pmA Novosibovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42696	FALSE	41.353	DNA	10-JUL-2019	53	92.4528301886792	7.54716981132075	92.2498594716133	NA	0	Proteus	Novosibovirus	Novosibovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Proteus mirabilis
MG575418	Proteus phage vB_PmiP_RS1pmA	Proteus phage vB_PmiP_RS1pmA Novosibovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42112	FALSE	41.076	DNA	10-JUL-2019	51	94.1176470588235	5.88235294117647	90.1524506079027	NA	0	Proteus	Novosibovirus	Novosibovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Proteus mirabilis
MK474470	Vibrio phage vB_VpaS_OWB	Vibrio phage vB_VpaS_OWB Maculvirus OWB Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43264	FALSE	48.740	DNA	10-MAR-2019	48	100	0	94.7970599112426	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
MK278859	Acinetobacter phage AbKT21phiIII	Acinetobacter phage AbKT21phiIII Friunavirus AbKT21III Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40898	FALSE	39.359	DNA	13-JAN-2019	49	95.9183673469388	4.08163265306122	87.8038045870214	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MK095211	Pectobacterium phage Zenivior_B1	Pectobacterium phage Zenivior_B1 Phimunavirus zenivior Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43724	FALSE	49.001	DNA	05-DEC-2018	57	1.75438596491228	98.2456140350877	95.9884731497576	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095210	Pectobacterium phage Zenivior	Pectobacterium phage Zenivior Phimunavirus zenivior Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43724	FALSE	48.998	DNA	05-DEC-2018	57	98.2456140350877	1.75438596491228	92.8048668923246	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095209	Pectobacterium phage Phoria	Pectobacterium phage Phoria Phimunavirus phoria Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43825	FALSE	48.634	DNA	05-DEC-2018	59	1.69491525423729	98.3050847457627	94.2681118083286	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095208	Pectobacterium phage Nobby_B4	Pectobacterium phage Nobby_B4 Phimunavirus nobby Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42830	FALSE	48.998	DNA	05-DEC-2018	54	98.1481481481482	1.85185185185185	94.2096661218772	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095207	Pectobacterium phage Nobby_B3	Pectobacterium phage Nobby_B3 Phimunavirus nobby Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42818	FALSE	48.993	DNA	05-DEC-2018	54	1.85185185185185	98.1481481481482	94.8806576673362	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095206	Pectobacterium phage Nobby_B2	Pectobacterium phage Nobby_B2 Phimunavirus nobby Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42837	FALSE	49.016	DNA	05-DEC-2018	54	98.1481481481482	1.85185185185185	95.3708242874151	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095205	Pectobacterium phage Nobby_B1	Pectobacterium phage Nobby_B1 Phimunavirus nobby Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42836	FALSE	49.003	DNA	05-DEC-2018	54	98.1481481481482	1.85185185185185	95.4010645251658	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095204	Pectobacterium phage Koot_B1	Pectobacterium phage Koot_B1 Phimunavirus koot Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43402	FALSE	49.018	DNA	05-DEC-2018	54	0	100	88.0811944150039	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095203	Pectobacterium phage Koot	Pectobacterium phage Koot Phimunavirus koot Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43402	FALSE	49.023	DNA	05-DEC-2018	54	0	100	94.1915119118935	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095202	Pectobacterium phage Khlen	Pectobacterium phage Khlen Phimunavirus khlen Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44013	FALSE	48.915	DNA	05-DEC-2018	56	0	100	90.900415786245	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095201	Pectobacterium phage Ekidair	Pectobacterium phage Ekidair Phimunavirus lelidair Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43495	FALSE	48.884	DNA	05-DEC-2018	57	3.50877192982456	96.4912280701754	94.6591562248534	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095200	Pectobacterium phage Clickz_B8	Pectobacterium phage Clickz_B8 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43310	FALSE	49.194	DNA	05-DEC-2018	56	3.57142857142857	96.4285714285714	95.3959824520896	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095199	Pectobacterium phage Clickz_B7	Pectobacterium phage Clickz_B7 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43310	FALSE	49.190	DNA	05-DEC-2018	55	3.63636363636364	96.3636363636364	93.463403371046	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095198	Pectobacterium phage Clickz_B6	Pectobacterium phage Clickz_B6 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43314	FALSE	49.192	DNA	05-DEC-2018	56	96.4285714285714	3.57142857142857	95.2347970633052	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095197	Pectobacterium phage Clickz_B5	Pectobacterium phage Clickz_B5 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43312	FALSE	49.192	DNA	05-DEC-2018	55	3.63636363636364	96.3636363636364	94.2694865164389	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095196	Pectobacterium phage Clickz_B4	Pectobacterium phage Clickz_B4 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43312	FALSE	49.190	DNA	05-DEC-2018	56	96.4285714285714	3.57142857142857	94.5465459918729	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095195	Pectobacterium phage Clickz_B3	Pectobacterium phage Clickz_B3 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43310	FALSE	49.190	DNA	05-DEC-2018	56	3.57142857142857	96.4285714285714	95.3959824520896	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095194	Pectobacterium phage Clickz_B2	Pectobacterium phage Clickz_B2 Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43312	FALSE	49.192	DNA	05-DEC-2018	56	96.4285714285714	3.57142857142857	95.3915773919468	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095193	Pectobacterium phage Clickz	Pectobacterium phage Clickz Phimunavirus Clickz Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43310	FALSE	49.192	DNA	05-DEC-2018	56	3.57142857142857	96.4285714285714	95.0912029554376	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MK095192	Pectobacterium phage Astalicious	Pectobacterium phage Astalicious Phimunavirus nobby Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42818	FALSE	49.012	DNA	05-DEC-2018	54	1.85185185185185	98.1481481481482	95.4341632023915	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
LC375533	Pectobacterium phage PPWS2	Pectobacterium phage PPWS2 Kotilavirus PPWS2 Kotilavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44716	FALSE	50.968	DNA	13-NOV-2018	60	100	0	93.8992754271402	NA	0	Pectobacterium	Kotilavirus	Kotilavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
KX278418	Pectobacterium phage PP16	Pectobacterium phage PP16 Kotilavirus PP16 Kotilavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44268	FALSE	51.936	DNA	02-NOV-2018	58	100	0	95.4323664949851	NA	0	Pectobacterium	Kotilavirus	Kotilavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium carotovorum subsp. carotovorum PB69
LC063634	Pectobacterium phage PPWS1	Pectobacterium phage PPWS1 Kotilavirus PPWS1 Kotilavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44539	FALSE	51.063	DNA	24-OCT-2018	55	100	0	93.2081995554458	NA	0	Pectobacterium	Kotilavirus	Kotilavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Wasabia japonica Matsum
MH800200	Acinetobacter phage vB_AbaP_46-62_Aci07	Acinetobacter phage vB_AbaP_46-62_Aci07 Friunavirus Aci07 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42330	FALSE	39.135	DNA	03-OCT-2018	51	100	0	92.1474131821403	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MH763831	Acinetobacter phage vB_AbaP_B09_Aci08	Acinetobacter phage vB_AbaP_B09_Aci08 Friunavirus Aci08 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42067	FALSE	39.285	DNA	03-OCT-2018	50	100	0	91.9033922076687	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii Paris B09
MH807819	Pectobacterium phage Slant	Pectobacterium phage Slant Phimunavirus khlen Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44149	FALSE	48.957	DNA	18-SEP-2018	56	100	0	95.1663684341661	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MH807818	Pectobacterium phage Nobby	Pectobacterium phage Nobby Phimunavirus nobby Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42818	FALSE	48.996	DNA	18-SEP-2018	54	98.1481481481482	1.85185185185185	95.4411696015694	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MH807816	Pectobacterium phage Momine	Pectobacterium phage Momine Phimunavirus koot Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43402	FALSE	49.039	DNA	18-SEP-2018	54	100	0	94.8758121745542	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MH807814	Pectobacterium phage Lelidair	Pectobacterium phage Lelidair Phimunavirus lelidair Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43686	FALSE	48.659	DNA	18-SEP-2018	57	98.2456140350877	1.75438596491228	95.2822414503502	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MH807811	Pectobacterium phage Gaspode	Pectobacterium phage Gaspode Phimunavirus gaspode Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44364	FALSE	48.808	DNA	18-SEP-2018	58	98.2758620689655	1.72413793103448	94.9553692182851	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM18077
MF754112	Vibrio phage vB_VpaP_KF2	Vibrio phage vB_VpaP_KF2 Maculvirus KF2 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43571	FALSE	49.482	DNA	31-AUG-2018	50	100	0	94.0809253861513	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
MF754111	Vibrio phage vB_VpaP_KF1	Vibrio phage vB_VpaP_KF1 Maculvirus KF1 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43237	FALSE	49.490	DNA	31-AUG-2018	48	100	0	94.6619793232648	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
KY953156	Pectobacterium phage vB_PatP_CB5	Pectobacterium phage vB_PatP_CB5 Phimunavirus CB5 Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44549	FALSE	48.984	DNA	16-AUG-2018	56	100	0	94.1098565624369	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum DSM 30186
